Dvoyna s peresecheniyami bez probelov
 0;31;338;285;573;128;0;151;204;18;21;143;841;365;547;14;29;156;437;1407;4;2;178;101;179;6;367;0;0;0;4;134;90;10698;
 1803;5309;13404;3572;6179;2864;0;1250;4170;8391;9;9275;2636;6582;13607;9146;15782;4068;14393;6215;3490;604;1262;420;3816;1048;86;0;0;0;2113;101;2606;0;
Dvoyna bez peresecheniy bez probelov
 119;740;1921;556;1540;677;0;595;1779;529;446;2237;4017;2001;2609;536;1336;1398;2848;2349;306;84;696;159;552;396;170;0;0;0;134;571;970;
 343;6;20;13;7;804;0;9;4;523;0;43;416;19;240;1076;11;695;108;10;366;0;22;2;3;8;81;44;1200;15;35;2;123;
 2628;100;221;113;242;2331;0;22;235;1362;1;404;352;166;895;2853;431;569;1404;317;355;9;52;24;96;475;6;2;1157;107;87;6;238;
 522;25;37;19;497;326;0;1;8;518;0;85;637;25;231;2883;36;610;33;13;248;0;9;1;10;5;0;0;0;0;7;0;5;
 1975;49;534;42;41;2066;0;215;41;1051;0;207;310;63;957;1620;148;426;250;69;630;2;20;183;29;30;0;3;378;213;9;38;222;
 133;795;1502;1452;1670;764;0;399;952;445;936;1122;2519;2453;4140;650;1309;3385;3147;3021;293;57;328;197;719;382;337;0;0;0;132;71;192;
 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 474;24;4;9;395;1339;0;10;11;656;0;45;1;4;378;160;12;30;6;9;100;0;0;1;8;1;0;0;0;7;1;0;2;
 2362;113;516;184;482;280;0;27;42;221;0;106;170;235;680;381;89;189;89;57;262;5;4;7;15;11;2;5;172;105;7;1;83;
 252;624;1809;427;995;1242;0;248;1267;916;512;1539;2949;1472;2631;878;1252;901;2322;1891;233;67;821;425;806;347;113;0;0;0;108;152;840;
 49;127;267;134;214;47;0;54;122;208;1;472;102;220;485;187;343;157;552;347;79;23;41;40;161;86;3;0;0;0;35;1;56;
 3314;73;290;45;81;328;0;42;61;1761;0;128;404;68;348;4286;186;1005;292;419;851;12;15;38;52;22;0;0;0;2;26;4;28;
 2928;89;326;146;135;2431;0;138;98;3644;0;423;226;182;517;3034;332;76;1096;152;679;7;35;3;218;17;3;0;404;2146;47;421;810;
 1310;136;299;100;167;2126;0;29;88;1730;0;291;234;208;1073;2099;489;128;402;144;797;24;28;23;121;29;3;0;610;51;48;6;276;
 4774;72;154;106;305;4125;0;21;84;4001;0;229;11;38;1529;4479;186;62;588;626;1493;56;20;179;120;16;29;4;1890;399;9;70;751;
 91;1939;4033;2210;2523;990;0;931;932;799;1841;1555;3159;2831;3903;686;1503;2787;3790;3380;217;128;309;120;962;421;145;0;0;0;247;126;522;
 842;1;7;2;5;1148;0;0;2;485;0;43;646;5;92;4581;50;2854;18;50;424;2;2;6;8;4;1;0;193;38;0;9;156;
 3971;41;308;112;164;3042;0;149;29;2163;1;207;61;239;584;3758;115;55;177;517;1342;15;126;36;60;103;14;0;757;201;10;64;437;
 1086;72;823;49;142;1618;0;32;36;876;0;1807;1294;441;674;1479;1025;189;690;5153;575;69;109;25;156;55;0;6;170;1521;25;83;2037;
 2797;136;1295;63;162;2446;0;57;48;2295;0;494;139;199;877;5404;336;1754;906;125;773;20;30;43;106;25;7;1;761;2180;55;27;320;
 74;449;482;446;801;113;0;579;232;263;20;600;1184;550;494;142;566;347;879;831;58;23;224;17;443;252;153;0;0;0;34;547;86;
 135;0;0;1;0;102;0;0;0;134;0;2;29;1;2;200;1;48;4;7;34;4;1;0;1;1;0;0;10;0;0;0;0;
 222;60;294;64;81;106;0;14;42;348;0;144;119;126;306;1012;258;156;229;98;88;22;15;11;36;22;0;0;0;3;20;1;23;
 397;2;60;6;18;445;0;2;4;312;0;21;5;8;15;121;19;3;11;5;56;1;38;1;3;1;0;0;108;0;2;0;7;
 867;2;10;4;4;1642;0;0;3;696;0;161;19;3;490;37;7;3;7;1148;197;0;1;0;2;32;0;0;0;94;4;0;0;
 347;5;31;2;4;935;0;0;0;764;0;205;218;4;120;96;13;110;5;51;127;0;0;5;0;2;0;0;0;182;1;1;0;
