Dvoyna bez peresecheniy bez probelov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;;
 ã;0,001011;0,000039;0,000088;0,000011;0,001448;0,000457;0;0,000014;0,000025;0,000972;0;0,000177;0,001817;0,000022;0,000315;0,009727;0,000109;0,000865;0,000122;0,000025;0,000726;0,000003;0,000007;0,000001;0,00005;0,000011;0;0;0;0,000001;0,00001;0,000002;0,000008;#Í/Ä;
 ä;0,005096;0,00008;0,001015;0,000038;0,000086;0,005394;0;0,000128;0,000041;0,002521;0;0,000337;0,000942;0,000112;0,001989;0,004411;0,000167;0,001743;0,000523;0,00027;0,002126;0,000003;0,000076;0,000238;0,000074;0,000123;0,000001;0,000064;0,000626;0,000912;0,000026;0,000011;0,000486;#Í/Ä;
 å;0,000325;0,002595;0,004833;0,004792;0,003965;0,003042;0;0,001229;0,002236;0,001568;0,002932;0,003007;0,007374;0,006094;0,010273;0,001869;0,003701;0,006917;0,006734;0,006573;0,000722;0,000059;0,001218;0,00022;0,001686;0,0012;0,000765;0;0;0,000001;0,000361;0,000468;0,000657;#Í/Ä;
 ¸;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#Í/Ä;
 æ;0,001632;0,000069;0,000022;0,000007;0,000919;0,004758;0;0,000016;0,00001;0,001731;0;0,000125;0,000008;0,000009;0,001206;0,000157;0,000033;0,000012;0,000127;0,000029;0,000302;0;0;0,000001;0,000049;0,000001;0;0;0;0,000047;0,000011;0;0,000016;#Í/Ä;
 ç;0,006446;0,000217;0,001055;0,000645;0,000991;0,000323;0;0,000134;0,000098;0,000406;0;0,000219;0,00024;0,000392;0,002305;0,000524;0,000149;0,000282;0,000186;0,000094;0,000368;0,000003;0,000005;0,000009;0,000086;0,000017;0;0,000017;0,00043;0,000205;0,000037;0,000005;0,000543;#Í/Ä;
 è;0,000348;0,001385;0,005334;0,000938;0,002772;0,003427;0;0,000597;0,002652;0,001901;0,001507;0,003031;0,005886;0,003992;0,006876;0,002008;0,002422;0,001261;0,004702;0,005523;0,000629;0,000076;0,001747;0,000999;0,002792;0,000601;0,000205;0;0;0,000001;0,000286;0,000284;0,002301;#Í/Ä;
 é;0,000396;0,000304;0,000679;0,000218;0,000716;0,000126;0;0,00016;0,00019;0,000763;0;0,000666;0,000281;0,000377;0,000955;0,000545;0,000738;0,000319;0,001418;0,000595;0,000176;0,00003;0,000078;0,000071;0,000346;0,000113;0,000013;0;0;0;0,000077;0,000005;0,000091;#Í/Ä;
 ê;0,009147;0,000377;0,000603;0,000101;0,000242;0,000717;0;0,000228;0,000111;0,003736;0;0,000325;0,000535;0,000206;0,001416;0,009769;0,000355;0,001839;0,00153;0,000721;0,001836;0,000012;0,000085;0,000026;0,00018;0,000031;0,000008;0;0;0;0,00013;0,000001;0,000118;#Í/Ä;
 ë;0,009385;0,000222;0,000834;0,000299;0,000279;0,006688;0;0,000483;0,00015;0,00694;0;0,000842;0,00062;0,000207;0,001034;0,008035;0,000619;0,000146;0,00228;0,000388;0,001605;0,000022;0,000046;0,000015;0,000663;0,000045;0,000005;0;0,001146;0,004222;0,000151;0,001187;0,002112;#Í/Ä;
 ì;0,003088;0,000306;0,000691;0,000271;0,000381;0,003823;0;0,000138;0,00019;0,003833;0;0,000562;0,000322;0,000301;0,00233;0,004522;0,000817;0,000273;0,000934;0,000375;0,003366;0,000019;0,000086;0,000023;0,000503;0,00007;0,000007;0;0,001164;0,000082;0,000086;0,000006;0,000605;#Í/Ä;
 í;0,013409;0,00034;0,000622;0,000209;0,00098;0,01193;0;0,000066;0,000237;0,009455;0;0,000502;0,00009;0,000137;0,004152;0,011873;0,000724;0,000204;0,001829;0,000788;0,003279;0,000038;0,00009;0,00029;0,000474;0,000026;0,000176;0;0,003458;0,001436;0,000047;0,000192;0,002161;#Í/Ä;
 î;0,000286;0,005416;0,011143;0,005886;0,006088;0,003711;0;0,002824;0,001879;0,002292;0,003593;0,003134;0,00707;0,00657;0,012689;0,002853;0,003571;0,007035;0,00954;0,00935;0,000744;0,000227;0,000647;0,000157;0,003262;0,001541;0,000205;0;0;0;0,000556;0,000903;0,001176;#Í/Ä;
